Species,Transmitter,Month,n_COAs,level,method,area_km2
Bass,A69-1601-51660,2017-03-01T00:00:00Z,178,0.5,KDE50,0.03849787078249408
Bass,A69-1601-51660,2017-03-01T00:00:00Z,178,0.95,KDE95,0.11425762161406922
Bass,A69-1601-51660,2017-04-01T00:00:00Z,152,0.5,KDE50,0.03532587166819308
Bass,A69-1601-51660,2017-04-01T00:00:00Z,152,0.95,KDE95,0.1002617603599631
Bass,A69-1601-51660,2017-05-01T00:00:00Z,193,0.5,KDE50,0.12985911116896126
Bass,A69-1601-51660,2017-05-01T00:00:00Z,193,0.95,KDE95,1.0247500895499626
Bass,A69-1601-51660,2017-06-01T00:00:00Z,334,0.5,KDE50,0.09617240611028857
Bass,A69-1601-51660,2017-06-01T00:00:00Z,334,0.95,KDE95,0.7511879825807065
Bass,A69-1601-51660,2017-07-01T00:00:00Z,420,0.5,KDE50,0.1114605508557912
Bass,A69-1601-51660,2017-07-01T00:00:00Z,420,0.95,KDE95,0.8820001454132774
Bass,A69-1601-51867,2017-03-01T00:00:00Z,82,0.5,KDE50,0.03753139118031101
Bass,A69-1601-51867,2017-03-01T00:00:00Z,82,0.95,KDE95,0.0798331479981802
Bass,A69-1601-51867,2018-02-01T00:00:00Z,54,0.5,KDE50,0.019310213858287434
Bass,A69-1601-51867,2018-02-01T00:00:00Z,54,0.95,KDE95,0.0793599939398362
Bass,A69-1601-51867,2018-04-01T00:00:00Z,192,0.5,KDE50,0.06746279564541902
Bass,A69-1601-51867,2018-04-01T00:00:00Z,192,0.95,KDE95,0.1668356601030659
Bass,A69-1601-51867,2018-05-01T00:00:00Z,141,0.5,KDE50,0.024639251123003605
Bass,A69-1601-51867,2018-05-01T00:00:00Z,141,0.95,KDE95,0.062359475416096
Bass,A69-1601-51867,2019-02-01T00:00:00Z,34,0.5,KDE50,0.05092937610204378
Bass,A69-1601-51867,2019-02-01T00:00:00Z,34,0.95,KDE95,0.18102938383742453
Bass,A69-1601-51867,2019-03-01T00:00:00Z,86,0.5,KDE50,0.018765480795894983
Bass,A69-1601-51867,2019-03-01T00:00:00Z,86,0.95,KDE95,0.051929091051630794
Bass,A69-1601-51867,2019-04-01T00:00:00Z,69,0.5,KDE50,0.0236905505357543
Bass,A69-1601-51867,2019-04-01T00:00:00Z,69,0.95,KDE95,0.05394724025814282
Bass,A69-1601-51867,2019-06-01T00:00:00Z,34,0.5,KDE50,0.029261753411744956
Bass,A69-1601-51867,2019-06-01T00:00:00Z,34,0.95,KDE95,0.11690849951880836
Bass,A69-1601-51867,2019-07-01T00:00:00Z,159,0.5,KDE50,0.024105204651932
Bass,A69-1601-51867,2019-07-01T00:00:00Z,159,0.95,KDE95,0.05339876025550766
Bass,A69-1601-51867,2020-02-01T00:00:00Z,95,0.5,KDE50,0.025548510655472055
Bass,A69-1601-51867,2020-02-01T00:00:00Z,95,0.95,KDE95,0.07803860096454934
Bass,A69-1601-51867,2020-03-01T00:00:00Z,220,0.5,KDE50,0.02358230387353711
